Code,Name,Region/Country,Supergroup name
S12000029,South Lanarkshire,Scotland,Services and Industrial Legacy   
S12000030,Stirling,Scotland,Countryside Living
S12000039,West Dunbartonshire,Scotland,Services and Industrial Legacy   
S12000040,West Lothian,Scotland,Services and Industrial Legacy   
N09000001,Antrim and Newtownabbey,Northern Ireland,Town and Country Living
N09000011,Ards and North Down,Northern Ireland,Town and Country Living
N09000002,"Armagh City, Banbridge and Craigavon",Northern Ireland,Town and Country Living
N09000003,Belfast,Northern Ireland,"Business, Education and Heritage Centres "
N09000004,Causeway Coast and Glens,Northern Ireland,Town and Country Living
N09000005,Derry and Strabane,Northern Ireland,Services and Industrial Legacy   
N09000006,Fermanagh and Omagh,Northern Ireland,Town and Country Living
N09000007,Lisburn and Castlereagh,Northern Ireland,Town and Country Living
N09000008,Mid Ulster,Northern Ireland,Town and Country Living
N09000010,Mid and East Antrim,Northern Ireland,Town and Country Living
N09000010,"Newry, Mourne and Down",Northern Ireland,Town and Country Living
E10000034,Worcestershire,"West Midlands, England",Town and Country Living
E10000020,Norfolk,"East, England",Town and Country Living
S12000009,East Dunbartonshire,Scotland,Town and Country Living
